SAMPLE NAME,Sampled Distance,Equivalent RL4_06 Distance,Age MARCH 2018,d13C,d18O
RL4-1107,21.9,24.50,2.06,-5.78,-3.92
RL4-1108,22.1,24.71,2.07,-5.99,-3.76
RL4-1109,22.3,24.92,2.08,-6.14,-3.90
RL4-1110,22.5,25.13,2.09,-6.32,-3.95
RL4-1111,22.7,25.34,2.10,-6.65,-3.89
RL4-1112,22.9,25.55,2.11,-6.69,-3.89
RL4-1113,23.1,25.76,2.12,-6.63,-3.93
RL4-1114,23.3,25.97,2.13,-7.16,-3.88
RL4-1115,23.5,26.18,2.14,-7.31,-3.88
RL4-1116,23.7,26.39,2.14,-7.10,-3.95
RL4-1117,23.9,26.60,2.15,-7.15,-3.99
RL4-1118,24.1,26.81,2.16,-7.09,-3.87
RL4-1119,24.3,27.02,2.16,-7.06,-3.63
RL4-1120,24.5,27.23,2.17,-7.30,-3.92
RL4 1120A,24.7,27.44,2.18,-7.81,-3.96
RL4 1121,24.9,27.65,2.18,-7.82,-4.12
RL4 1122,25.1,27.86,2.19,-7.64,-3.94
RL4 1123,25.3,28.07,2.20,-6.93,-3.79
RL4 1124,25.5,28.28,2.20,-7.22,-4.15
RL4 1125,25.7,28.50,2.21,-7.24,-3.92
RL4 1126,25.9,28.71,2.21,-7.02,-3.96
RL4 1127,26.1,28.92,2.22,-6.85,-3.89
RL4 1128,26.3,29.13,2.23,-7.08,-4.05
RL4 1129,26.5,29.34,2.24,-7.57,-4.00
RL4 1130,26.7,29.55,2.24,-7.94,-4.19
RL4 1131,26.9,29.76,2.25,-7.97,-4.05
RL4 1132,27.1,29.97,2.26,-7.86,-4.19
RL4 1133,27.3,30.18,2.27,-6.97,-3.91
RL4 1134,27.5,30.39,2.27,-6.98,-3.98
RL4 1135,27.7,30.60,2.28,-7.04,-3.99
RL4 1136,27.9,30.81,2.29,-6.81,-3.92
RL4 1137,28.1,31.02,2.30,-6.68,-4.07
RL4 1138,28.3,31.23,2.30,-6.83,-3.91
RL4 1139,28.5,31.44,2.31,-6.75,-3.92
RL4 1140,28.7,31.65,2.32,-6.75,-3.96
RL4 1141,28.9,31.86,2.33,-6.83,-4.00
RL4 1142,29.1,32.07,2.33,-6.69,-4.03
RL4 1143,29.3,32.28,2.34,-6.45,-3.63
RL4 1144,29.5,32.49,2.35,-6.64,-4.04
RL4 1145,29.7,32.70,2.36,-7.05,-4.21
RL4 1146,29.9,32.91,2.36,-7.10,-4.16
RL4 1147,30.1,33.12,2.37,-7.06,-4.02
RL4 1148,30.3,33.33,2.38,-7.34,-4.12
RL4 1149,30.5,33.54,2.39,-7.23,-4.16
RL4 1150,30.7,33.75,2.39,-7.46,-4.32
RL4 1151,30.9,33.96,2.40,-7.66,-4.51
RL4 1152,31.1,34.17,2.41,-8.01,-4.59
RL4 1153,31.3,34.38,2.42,-7.75,-4.65
RL4 1154,31.5,34.59,2.42,-7.69,-4.62
RL4 1155,31.7,34.80,2.43,-7.55,-4.46
RL4 1156,31.9,35.01,2.44,-7.14,-4.24
RL4 1157,32.1,35.22,2.44,-7.23,-4.00
RL4 1158,32.3,35.43,2.45,-7.20,-3.83
RL4 1159,32.5,35.64,2.46,-6.98,-3.85
RL4 1160,32.7,35.85,2.47,-7.25,-4.22
RL4 1161,32.9,36.06,2.47,-7.13,-4.22
RL4 1162,33.1,36.27,2.48,-7.47,-4.15
RL4 1163,33.3,36.48,2.49,-7.74,-4.22
RL4 1164,33.5,36.69,2.50,-8.08,-4.33
RL4 1165,33.7,36.91,2.50,-8.01,-4.29
RL4 1166,33.9,37.12,2.51,-7.58,-4.19
RL4 1167,34.1,37.33,2.52,-6.99,-3.94
RL4 1168,34.3,37.54,2.53,-7.19,-4.07
RL4 1169,34.5,37.75,2.53,-7.92,-4.43
RL4 1170,34.7,37.96,2.54,-7.94,-4.75
RL4 1171,34.9,38.17,2.55,-7.60,-4.65
RL4 1172,35.1,38.38,2.55,-7.16,-4.37
RL4 1173,35.3,38.59,2.56,-6.89,-4.16
RL4 1174,35.5,38.80,2.57,-6.90,-3.85
RL4 1175,35.7,39.01,2.57,-7.03,-4.06
RL4 1176,35.9,39.22,2.58,-7.00,-3.94
RL4 1177,36.1,39.43,2.59,-7.16,-3.99
RL4 1178,36.3,39.64,2.59,-7.33,-4.11
RL4 1179,36.5,39.85,2.60,-7.39,-3.95
RL4 1180,36.7,40.06,2.61,-7.49,-3.95
RL4 1181,36.9,40.27,2.61,-7.56,-4.06
RL4 1182,37.1,40.48,2.62,-7.24,-3.89
RL4 1183,37.3,40.69,2.62,-6.75,-3.88
RL4 1184,37.5,40.90,2.63,-6.58,-3.81
RL4 1185,37.7,41.12,2.64,-6.54,-3.75
RL4 1186,37.9,41.34,2.64,-6.86,-3.77
RL4 1187,38.1,41.56,2.65,-7.29,-3.82
RL4 1188,38.3,41.78,2.66,-7.94,-4.08
RL4 1189,38.5,42.00,2.66,-7.96,-3.97
RL4 1190,38.7,42.22,2.67,-7.53,-3.99
RL4 1191,38.9,42.44,2.68,-7.54,-4.21
RL4 1192,39.1,42.66,2.68,-7.31,-4.02
RL4 1193,39.3,42.88,2.69,-7.04,-3.86
RL4 1194,39.5,43.10,2.70,-6.96,-3.83
RL4 1195,39.7,43.32,2.70,-6.94,-4.01
RL4 1196,39.9,43.54,2.71,-7.34,-4.24
RL4 1197,40.1,43.76,2.72,-7.61,-4.30
RL4 1198,40.3,43.98,2.72,-8.01,-4.13
RL4 1199,40.5,44.20,2.73,-7.92,-4.35
RL4 1200,40.7,44.46,2.74,-7.81,-4.25
RL4 1201,40.9,44.71,2.75,-7.67,-4.56
RL4 1202,41.1,44.97,2.75,-7.73,-4.16
RL4 1203,41.3,45.22,2.76,-7.73,-4.03
RL4 1204,41.5,45.48,2.77,-7.67,-4.17
RL4 1205,41.7,45.73,2.78,-7.49,-3.98
RL4 1206,41.9,45.99,2.79,-7.39,-4.04
RL4 1207,42.1,46.24,2.79,-7.23,-4.02
RL4 1208,42.3,46.50,2.80,-7.38,-4.45
RL4 1209,42.5,46.76,2.81,-7.54,-3.98
RL4 1210,42.7,47.01,2.81,-7.72,-4.16
RL4 1211,42.9,47.27,2.82,-7.88,-4.16
RL4 1212,43.1,47.52,2.83,-7.96,-4.26
RL4 1213,43.3,47.78,2.84,-8.02,-3.97
RL4 1214,43.5,48.03,2.84,-7.70,-4.06
RL4 1215,43.7,48.29,2.85,-7.72,-4.08
RL4 1335,43.9,48.54,2.86,-8.09,-4.14
RL4 1336,44.1,48.80,2.87,-8.29,-4.04
RL4 1337,44.3,48.95,2.88,-8.39,-4.12
RL4 1338,44.5,49.09,2.88,-8.22,-4.21
RL4 1339,44.7,49.24,2.89,-8.24,-4.40
RL4 1340,44.9,49.38,2.89,-7.61,-4.18
RL4 1341,45.1,49.53,2.90,-7.86,-4.38
RL4 1342,45.3,49.68,2.90,-8.13,-4.49
RL4 1343,45.5,49.82,2.91,-8.17,-4.44
RL4 1344,45.7,49.97,2.91,-8.18,-4.58
RL4 1345,45.9,50.12,2.92,-7.77,-4.18
RL4 1346,46.1,50.26,2.92,-7.82,-4.32
RL4 1347,46.3,50.41,2.93,-8.09,-4.30
